Tarih;Ay;Ana Depo;Depo;Kontak Tipi;GLN;Kontak Adı;Kontak Brick;Ürün;Kategori;Form;Satış Adet;Satış MF;Toplam Satış
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001605620;ELMAS ECZANESİ;SAMSUN TERME;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001734009;EMEL ECZANESİ;SAMSUN ATAKUM;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50;15;65
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001734009;EMEL ECZANESİ;SAMSUN ATAKUM;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;30;12;42
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001110124;ESİN ECZANESİ;SAMSUN BAHCELIEVLER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2
25.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001556670;GENÇ ECZANESİ;VAN MERKEZ -1;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
25.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001479153;GÜRCÜKAPI ECZANESİ;ERZURUM MERKEZ -2;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;5;1;6
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001158379;HALK ECZANESİ;ORDU GUNEY ILCELER -1;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;10;3;13
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001158515;HAYAT ECZANESİ;ORDU GUNEY ILCELER -1;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;20;10;30
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001154920;KANDEMİR ECZANESİ;SIVAS BATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001123148;MERVE ECZANESİ;SINOP DOGU-BATI ILCELER;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001158652;MURAT ECZANESİ;SAMSUN ADALET;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
25.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001928446;NİHAL ECZANESİ;SAMSUN ATAKUM;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
25.07.2026;202607;ALLIANCE HEALTHCARE;AH ORDU;Eczane;8680001201266;NİSAN ECZANESİ;GIRESUN GUNEY ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
25.07.2026;202607;ALLIANCE HEALTHCARE;AH TRABZON;Eczane;8680001478842;NUR ECZANESİ;TRABZON MERKEZ -4;PANOCER;ASLAN;Panocer 40 mg 14 Enterik Kaplı Tablet;10;3;13
25.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001169764;ÖZEN ECZANESİ;TOKAT MERKEZ -2;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11
