Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar
08.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001621279;ŞEHİR 25 ECZANESİ;ERZURUM MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;6,0;1,0;7,0;504,9
12.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001146680;HİKMET ECZANESİ;SIVAS MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;30,0;15,0;45,0;2.524,5
17.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001132485;YENİ BAYRAKTAR ECZANESİ;ARTVIN KUZEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;224,47
08.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001658978;PALANDÖKEN ECZANESİ;ERZURUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50,0;15,0;65,0;5.611,67
05.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001628766;SEVİLAY ECZANESİ;RIZE MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50,0;15,0;65,0;5.611,67
18.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001112364;ŞİFA ECZANESİ;RIZE MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;3,0;0,0;3,0;206,69
20.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001503728;HAYAT ECZANESİ;KARS MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;2,0;0,0;2,0;210,63
22.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001715589;HİTİT ECZANESİ;CORUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;1.122,33
07.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001491612;SEMİH ECZANESİ;TRABZON DOGU ILCELER - 2;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;168,3
01.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001157938;FATMA ECZANESİ;ORDU BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;1.122,33
05.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001503735;KÜBRA ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;168,3
02.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001454020;DEVA ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;6,0;1,0;7,0;504,9
24.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001688579;SÜNBÜLCÜ ECZANESİ;CORUM MERKEZ -3;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;745,02
07.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001883516;UMUT ECZANESİ;ORDU UNYE;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;1.122,33
12.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001605620;ELMAS ECZANESI;SAMSUN TERME;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;3,0;0,0;3,0;206,69
25.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001116881;ÖZTÜRK ECZANESİ;RIZE BATI ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;745,02
18.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001666874;BUĞRA ECZANESI;TOKAT MERKEZ -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5,0;1,0;6,0;745,02
11.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001485963;AHENK ECZANESİ;SAMSUN BAFRA;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20,0;3,0;23,0;2.244,67
04.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001705771;ÇAMLIHEMŞİN ECZANESİ;RIZE BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;1.122,33
08.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001202973;SİNAN ECZANESİ;TOKAT BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50,0;15,0;65,0;5.611,67
12.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001488490;ALTUNDAĞ ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;10,0;1,0;11,0;688,95
15.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001664368;MERKEZ ECZANESİ;ERZURUM GUNEY ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2,0;0,0;2,0;168,3
19.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001865079;AHSEN ECZANESİ;ORDU MERKEZ -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.490,04
04.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001445417;VİLDAN ECZANESİ;TRABZON AKCAABAT;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50,0;15,0;65,0;5.611,67
21.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001251797;CENGİZHAN ECZANESİ;TRABZON BATI ILCELER - 2;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;1,0;0,0;1,0;84,15
26.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001626038;KUTLAY ECZANESİ;GIRESUN MERKEZ -2;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;6,0;1,0;7,0;504,9
17.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001649020;HUZUR ECZANESİ;ERZURUM MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;6,0;1,0;7,0;504,9
27.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001113224;SEVİM ECZANESİ;RIZE DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;5,0;0,0;5,0;344,48
22.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001669851;SENA ECZANESİ;TRABZON MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5,0;0,0;5,0;561,17
18.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001168767;PASİNLER ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;12,0;42,0;3.159,38
22.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001900015;CİVAN ECZANESİ;KARS ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;1.122,33
20.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001444939;SIRMA ECZANESİ;TOKAT MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;-9,0;-2,0;-11,0;-1.010,07
04.05.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001179046;GİRİFTİNOĞLU ECZANESİ;GUMUSHANE;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;12,0;2,0;14,0;1.009,8
27.05.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001123421;KOÇAK ECZANESİ;SIVAS MERKEZ -4;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10,0;3,0;13,0;1.490,04
04.05.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001907960;DEVA ECZANESİ;ERZURUM GUNEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;4,0;0,0;4,0;448,93
